content_id,client_id,decline_prob,reason_code
content_aa76dcfed6e7,client_3fdba35f04,0.7627497542010486,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_f713f097536a,client_3fdba35f04,0.7623355654072708,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_d0e81e632d6f,client_3fdba35f04,0.7619493782457042,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_b74291f8efd2,client_3fdba35f04,0.7618852921126829,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_972b2512be5e,client_3fdba35f04,0.7618852921126829,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_2f98c1f72872,client_3fdba35f04,0.7612450546418897,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_74511860897e,client_3fdba35f04,0.7610813884193979,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_0265d1ec8372,client_3fdba35f04,0.7598876762686676,General Decay - Review Content Quality
content_eb0ce218868b,client_3fdba35f04,0.7591833526648532,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_33941ec34343,client_3fdba35f04,0.7587524856899063,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_84bcb41f8825,client_3fdba35f04,0.7578979767148118,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_2d6bc8e57b4c,client_3fdba35f04,0.7576019576365222,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_799c0a43649c,client_3fdba35f04,0.7573189245490262,General Decay - Review Content Quality
content_5649f2ca6712,client_3fdba35f04,0.7570517237965713,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_73f3a3c5e203,client_3fdba35f04,0.7570287897389898,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_b2723b0e21a1,client_3fdba35f04,0.7567517087717505,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_c71eefc9a1e1,client_3fdba35f04,0.7566146009452117,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_911264ec201b,client_3fdba35f04,0.7566146009452117,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_0f4c6300ffca,client_3fdba35f04,0.7566146009452117,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_0279831cd5f9,client_3fdba35f04,0.7559959052114621,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_9415311161be,client_3fdba35f04,0.7559049185933684,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_f55fd2d8ed04,client_4e07408562,0.7557568088348658,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_d06315b2b326,client_3fdba35f04,0.7553148641868755,"High Visibility, Poor CTR - Needs Better Title/Meta"
content_97ca666d19ac,client_3fdba35f04,0.7551028229643292,"High Visibility, Poor CTR - Needs Better Title/Meta"
